Nome,Classe,Smiles,Peso_Molecular,logP,TPSA,Lig_Rotacionaveis
Indomethacin,Medicamento,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,357.79,3.93,68.53,4
Ketoprofen,Medicamento,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,254.28,3.11,54.37,4
Piroxicam,Medicamento,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,331.35,1.58,99.60,2
Celecoxib,Medicamento,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,381.38,3.51,77.98,3
Ibuprofen,Medicamento,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,206.28,3.07,37.30,4
Meloxicam,Medicamento,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,351.41,1.95,99.60,2
Thymol,Fitoterapico,CC1=CC(=C(C=C1)C(C)C)O,150.22,2.82,20.23,1
Carvacrol,Fitoterapico,CC1=C(C=C(C=C1)C(C)C)O,150.22,2.82,20.23,1
Quercetin,Fitoterapico,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,302.24,1.99,131.36,1
Sulforaphane,Fitoterapico,CS(=O)CCCCN=C=S,177.29,1.25,29.43,5
Curcumin,Fitoterapico,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,368.39,3.37,93.06,8
Resveratrol,Fitoterapico,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,228.25,2.97,60.69,2
Genistein,Fitoterapico,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,270.24,2.58,90.90,1
Eugenol,Fitoterapico,COC1=C(C=CC(=C1)CC=C)O,164.20,2.13,29.46,3
