ID,Name,SMILES,Solubility
G-1,"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,-2.18
G-26,"1,2-Dichlorotetrafluoroethane",FC(F)(Cl)C(F)(F)Cl,-2.74
G-51,"1,4-Dinitrobenzene",O=N(=O)c1ccc(cc1)N(=O)=O,-3.39
G-76,1-Chloropentane,CCCCCCl,-2.73
G-101,"1-Nitronapthalene",O=N(=O)c1cccc2ccccc12,-3.54
G-126,"2,2',3,4,5-PCB",Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl,-7.21
G-151,"2,3,4,6-Tetrachlorophenol",Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-3.1
G-176,"2,4-Dimethyl-3-pentanol",CC(C)C(O)C(C)C,-1.22
G-201,"2-Chlorobiphenyl",Clc1ccccc1c2ccccc2,-4.54
G-226,2-Methy-2-Butene,CC=C(C)C,-2.56
G-251,2-Nonanol,CCCCCCCC(C)O,-2.74
G-276,3-Chlorophenol,Oc1cccc(Cl)c1,-0.7
G-301,3-Octanol,CCCCCC(O)CC,-1.98
G-326,4-Pentene-1-ol,OCCCC=C,-0.15
G-351,"7,12-Dimethylbenz(a)anthracene",Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02
G-376,allantoin,NC(=O)NC1NC(=O)NC1=O,-1.6
G-401,Apazone,CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C,-3.538
G-426,Benzo(j)fluoranthene,c1ccc2c3c(ccc2c1)c4cccc5cccc3c45,-8
G-451,Bromophos,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09
G-476,Carbaryl,CNC(=O)Oc1cccc2ccccc12,-3.224
G-501,Chloropicrin,ClC(Cl)(Cl)N(=O)=O,-2
G-526,Coumatetralyl,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2,-2.84
G-551,Cypermethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.017
G-576,Dibutyl ether,CCCCOCCCC,-1.85
G-601,Dimefuron,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328
G-626,Dulcin,CCOc1ccc(NC(N)=O)cc1,-2.17
G-651,Ethoxyzolamide,CCOc2ccc1nc(sc1c2)S(N)(=O)=O,-3.81
G-676,Eugenol,COc1cc(CC=C)ccc1O,-1.56
G-701,Fluvalinate,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.003
G-726,Hexestrol,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.43
G-751,Isobutyl formate,CC(C)COC=O,-1.01
G-776,Lindane,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64
G-801,Methane,C,-0.9
G-826,Methyl propionate,CCC(=O)OC,-0.14
G-851,Monuron,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89
G-876,Nitrofen,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.46
G-901,o-Nitrotoluene,Cc1ccccc1N(=O)=O,-2.33
G-926,Pebulate,CCCCN(CC)C(=O)SCCC,-3.53
G-951,phenylbutazone,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-3.81
G-976,p-Phenylphenol,Oc1ccc(cc1)c2ccccc2,-3.48
G-1001,Propylcyclopentane,CCCC1CCCC1,-4.74
G-1026,Riboflavin,Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,-3.685
G-1051,salicylanilide,c1ccccc1NC(=O)c2c(O)cccc2,-3.59
G-1076,Terbumeton,CCNc1nc(NC(C)(C)C)nc(OC)n1,-3.239
G-1101,thiouracil,Sc1nccc(=O)[nH]1,-2.273
G-1126,Triclosan,Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,-4.46
