ID_Mestre,SMILES,1EVE_Eficacia,5W8K_Risco,Indice_Seletividade,Origem_Historica
MOL_00001,Cc1cc(C=NO)c(C2CCC(C)C2C(=O)CC(C)C)cn1,-10.18,-6.083,4.097,Fase 4_Mutantes Geração 2
MOL_00002,CC(=O)c1ccncc1C1CCC(C)C1C(=O)CC(C)C,-9.735,-5.679,4.056,Fase 4_Mutantes Geração 2
MOL_00003,Cc1cc(C=CF)c(C2CCC(F)C2C(=O)C(C)C)cn1,-9.735,-6.639,3.096,Fase 4_Mutantes Geração 2
MOL_00004,CCC(C)CC(=O)C1C(C)CCC1c1cnc(C)cc1C=NO,-9.422,-6.218,3.2040000000000006,Fase 5_Híbridos Geração 3
MOL_00005,CC(C)CC(=O)C1C(C)CCC1c1cnccc1C=NO,-9.4,-6.258,3.142,Fase 1_Lote Inicial
MOL_00006,CC(C)CC(=O)C1C(C)CCC1c1cnccc1NC#N,-9.37,-6.728,2.642,Fase 1_Lote Inicial
MOL_00007,Cc1cncc(C2CCC(F)C2C(=O)C(C)C)c1C=CF,-9.369,-6.766,2.603,Fase 4_Mutantes Geração 2
MOL_00008,Cc1nccc(C=NO)c1C1CCC(C)C1C(=O)CC(C)C,-9.313,-6.151,3.162,Fase 4_Mutantes Geração 2
MOL_00009,CCC1CCC(c2cnc(C)cc2C=NO)C1C(=O)CC(C)C,-9.257,-6.201,3.056,Fase 5_Híbridos Geração 3
MOL_00010,C=C=Cc1ccncc1C1CCC(C)C1C(=O)C(C)=CC,-9.231,-6.263,2.968,Fase 1_Lote Inicial
MOL_00011,C=C=Cc1ccncc1C1CCC(C)C1C(=O)CC1CCC1F,-9.228,-7.09,2.138,Fase 1_Lote Inicial
MOL_00012,CCCC(=O)C1C(C)CCC1c1cnccc1-c1nnn[nH]1,-9.215,-6.77,2.445,Fase 4_Mutantes Geração 2
MOL_00013,Cc1ncc(C2CCC(C)C2C(=O)CC(C)C)c(C=NO)c1C,-9.187,-5.869,3.318,Evolução Interativa Gen 6
MOL_00014,CCC(C)CC(=O)C1C(C)CCC1c1cnccc1C=NO,-9.164,-6.392,2.772,Fase 4_Mutantes Geração 2
MOL_00015,CC(=O)c1cc(C)ncc1C1CCC(C)C1C(=O)CC(C)C,-9.14,-6.522,2.6180000000000003,Fase 5_Híbridos Geração 3
MOL_00016,CC=C(C)C(=O)C1C(C)CCC1c1cnccc1C1CC1,-9.078,-6.611,2.467,Fase 1_Lote Inicial
MOL_00017,CC(C)C(=O)C1C(C)CCC1c1cnccc1N,-9.065,-6.22,2.845,Fase 3_Super Elite
MOL_00018,CC(C)C(=O)C1C(F)CCC1c1cnccc1C=CF,-9.064,-5.899,3.165,Fase 1_Lote Inicial
MOL_00019,CC(C)C(=O)C1C(C)CCC1c1cnccc1C(F)F,-9.043,-6.399,2.644,Fase 3_Super Elite
MOL_00020,CCCC(=O)C1C(C)CCC1c1cnccc1C=NO,-9.016,-5.873,3.143,Fase 4_Mutantes Geração 2
MOL_00021,CC(C)C(=O)C1C(F)CCC1c1cnccc1NC#N,-9.015,-6.505,2.51,Fase 1_Lote Inicial
MOL_00022,CCC(C)CC(=O)C1C(C)CCC1c1cnccc1C(C)=O,-8.999,-6.541,2.458,Fase 5_Híbridos Geração 3
MOL_00023,CC(C)c1ccncc1C1CCC(CF)C1C(=O)C(N)=O,-8.977,-6.353,2.624,Fase 2_Seletividade
MOL_00024,NC(=O)C(=O)C1C(F)CCC1c1cnccc1C(F)F,-8.969,-6.555,2.414,Fase 3_Super Elite
MOL_00025,CCCC(=O)C1C(C)CCC1c1cnc(C)cc1C#N,-8.958,-5.666,3.292,Fase 4_Mutantes Geração 2
MOL_00026,O=C(CC(F)(F)F)C1C(F)CCC1c1cnccc1C1CO1,-8.957,-6.325,2.632,Fase 1_Lote Inicial
MOL_00027,N#CC1CCC(c2cnccc2C2CC2)C1C(=O)C1CCC1,-8.956,-6.209,2.747,Fase 2_Seletividade
MOL_00028,N#Cc1ccncc1C1CCC(CF)C1C(=O)C1CCC1,-8.956,-6.382,2.574,Fase 2_Seletividade
MOL_00029,N#Cc1ccncc1C1CCC(O)C1C(=O)C1CCC1,-8.95,-6.332,2.618,Fase 2_Seletividade
MOL_00030,CC(C)C(=O)C1C(C)CCC1c1cnccc1C1CO1,-8.943,-5.841,3.102,Fase 1_Lote Inicial
MOL_00031,NC(=O)C(=O)C1C(F)CCC1c1cnccc1F,-8.941,-6.194,2.747,Fase 3_Super Elite
MOL_00032,CC1CCC(c2cnccc2C=CF)C1C(=O)CC(F)(F)F,-8.935,-6.369,2.566,Fase 1_Lote Inicial
MOL_00033,Cc1ccncc1C1CCC(F)C1C(=O)C(N)=O,-8.908,-6.218,2.69,Fase 2_Seletividade
MOL_00034,Cc1ccncc1C1CCC(C)C1C(=O)C(N)=O,-8.906,-6.268,2.638,Fase 2_Seletividade
MOL_00035,C=CCC(=O)C1C(C)CCC1c1cnccc1C=CF,-8.887,-6.096,2.791,Fase 1_Lote Inicial
MOL_00036,Cc1ncc(C2CCC(C)C2C(=O)CC(C)C)c(C=NO)c1F,-8.872,-6.033,2.8389999999999995,Evolução Interativa Gen 7
MOL_00037,CC=CC(=O)C1C(F)CCC1c1cnccc1C1CC1,-8.862,-6.35,2.512,Fase 1_Lote Inicial
MOL_00038,[N-]=[N+]=Nc1ccncc1C1CCC(F)C1C(=O)CC(F)(F)F,-8.854,-6.179,2.675,Fase 1_Lote Inicial
MOL_00039,COC(=O)c1ccncc1C1CCC(F)C1C(=O)C(C)C,-8.839,-6.211,2.628,Fase 1_Lote Inicial
MOL_00040,Cc1cc(C=NO)c(C2CCC(C)C2C(=O)CC(C)C)c(F)n1,-8.829,-5.913,2.9160000000000004,Evolução Interativa Gen 6
MOL_00041,CCC(F)C(=O)C1C(C)CCC1c1cnccc1C=NO,-8.829,-6.685,2.144,Fase 1_Lote Inicial
MOL_00042,CC(C)CC(=O)C1C(C)CCC1c1cnccc1C#N,-8.822,-5.517,3.305,Fase 4_Mutantes Geração 2
MOL_00043,CC1CCC(c2cnccc2C2CC2)C1C(=O)C(N)=O,-8.819,-6.507,2.312,Fase 3_Super Elite
MOL_00044,C=C=Cc1ccncc1C1CC1C(=O)C1CCCC1C,-8.805,-5.887,2.918,Fase 1_Lote Inicial
MOL_00045,CC1CCC(c2cnccc2NC#N)C1C(=O)CC1CC1,-8.804,-6.774,2.03,Fase 1_Lote Inicial
MOL_00046,CC(C)C(=O)C1C(C)CCC1c1cnccc1F,-8.8,-6.052,2.748,Fase 3_Super Elite
