ID_Mestre,SMILES,4EY7_Eficacia,5W8K_Risco_ML,Indice_Seletividade,Fitness_Score,Origem_Historica
MOL_H_00001,CCc1c(C2CCC(C)C2C(N)=O)nc(C(N)=O)c(F)c1C(F)(F)F,-8.208,-4.705998000000001,3.502001999999999,-4.9138014,Gen 111 (Human)
MOL_H_00002,Cc1c(C2CCC(C)C2C(N)=O)nc(C2C(C)CCC2C(N)=O)c(F)c1C,-8.339,-4.927405000000001,3.411595,-4.8898165,Gen 128 (Human)
MOL_H_00003,Cc1c(C2CCC(C)C2C(N)=O)nc(C2C(C)CCC2C(N)=O)c(Cl)c1C,-8.408,-5.140320000000002,3.2676799999999977,-4.809775999999999,Gen 129 (Human)
MOL_H_00004,Cc1nc(C2CCC(C)C2C(N)=O)c(C)c(C(N)=O)c1F,-7.771,-4.232478,3.5385219999999995,-4.8082654,Gen 138 (Human)
MOL_H_00005,Cc1c(C2CCC(C)C2C(N)=O)nc(C(N)=O)c(F)c1C,-7.757,-4.232478,3.524522,-4.7942654,Gen 127 (Human)
MOL_H_00006,CCc1nc(C2CCC(C)C2C(N)=O)c(C)c(C(N)=O)c1F,-7.83,-4.349425000000001,3.480574999999999,-4.7854025,Gen 136 (Human)
MOL_H_00007,Cc1c(C(N)=O)nc(C(F)(F)F)c(F)c1C1CCC(C)C1C(N)=O,-7.996,-4.589051000000001,3.406948999999999,-4.7836643,Gen 110 (Human)
MOL_H_00008,Cc1c(C2CCC(C)C2C(N)=O)nc(CC(C)C)c(F)c1C(N)=O,-8.01,-4.6281680000000005,3.381832,-4.770282399999999,Gen 138 (Human)
MOL_H_00009,Cc1nc(C2CCC(C)C2C(N)=O)c(C)c(C2C(C)CCC2C(N)=O)c1F,-8.196,-4.927405000000001,3.2685949999999986,-4.7468165,Gen 176 (Human)
MOL_H_00010,Cc1c(C2CCC(C)C2C(N)=O)nc(C2CCC(C)C2C(N)=O)c(F)c1C,-8.194,-4.927405000000001,3.266595,-4.744816500000001,Gen 138 (Human)
MOL_H_00011,CC(C)c1c(C2CCC(C)C2C(N)=O)nc(C(N)=O)c(F)c1C(F)(F)F,-8.184,-4.930402000000001,3.2535979999999984,-4.732718599999998,Gen 110 (Human)
MOL_H_00012,Cc1c(C(N)=O)nc(C2C(C)CCC2C(N)=O)c(F)c1C,-7.662,-4.232478,3.4295219999999995,-4.6992654,Gen 128 (Human)
MOL_H_00013,CCc1nc(C2C(C)CCC2C(N)=O)c(F)c(C(N)=O)c1C,-7.74,-4.349425000000001,3.3905749999999992,-4.6954025,Gen 137 (Human)
MOL_H_00014,Cc1c(C(F)(F)F)nc(C2CCC(C)C2C(N)=O)c(F)c1C(N)=O,-7.895,-4.589051000000001,3.3059489999999983,-4.682664299999999,Gen 109 (Human)
MOL_H_00015,Cc1nc(C(N)=O)c(F)c(C(F)(F)F)c1C1C(C)CCC1C(N)=O,-7.892,-4.589051000000001,3.302948999999999,-4.6796643,Gen 97 (Human)
MOL_H_00016,Cc1c(C2C(C)CCC2C(N)=O)nc(C2C(C)CCC2C(N)=O)c(Cl)c1C,-8.271,-5.140320000000002,3.130679999999999,-4.672776,Gen 144 (Human)
MOL_H_00017,Cc1nc(C(N)=O)c(F)c(C(F)(F)F)c1C1CCC(C)C1C(N)=O,-7.876,-4.589051000000001,3.286948999999999,-4.6636643,Gen 97 (Human)
MOL_H_00018,Cc1c(F)c(C(N)=O)nc(C2CCC(C)C2C(N)=O)c1CC(C)C,-7.886,-4.628168000000001,3.2578319999999987,-4.646282399999999,Gen 128 (Human)
MOL_H_00019,Cc1nc(C2CCC(C)C2C(N)=O)c(C)c(C(N)=O)c1Cl,-7.741,-4.445393,3.2956069999999995,-4.6292249,Gen 138 (Human)
MOL_H_00020,Cc1c(C2C(C)CCC2C(N)=O)nc(C(N)=O)c(Cl)c1C,-7.727,-4.445393,3.281607,-4.6152249,Gen 144 (Human)
MOL_H_00021,CCc1c(C)c(C2CCC(C)C2C(N)=O)nc(C(N)=O)c1F,-7.652,-4.349425000000001,3.302574999999999,-4.607402499999999,Gen 126 (Human)
MOL_H_00022,Cc1c(C(N)=O)nc(C2C(C)CCC2C(N)=O)c(F)c1C(F)(F)F,-7.819,-4.589051000000001,3.229948999999998,-4.606664299999999,Gen 111 (Human)
MOL_H_00023,Cc1c(C(N)=O)nc(C(N)=O)c(F)c1C(F)(F)F,-7.328,-3.894124,3.433876,-4.6021132,Gen 108 (Human)
MOL_H_00024,CCC(C)Cc1c(C2CCC(C)C2C(N)=O)nc(C(N)=O)c(F)c1C(F)(F)F,-8.182,-5.149330000000001,3.0326699999999995,-4.577469000000001,Gen 133 (Human)
MOL_H_00025,Cc1nc(C2CCC(C)C2C(N)=O)c(C)c(C2CCC(C)C2C(N)=O)c1F,-8.019,-4.927405000000001,3.091594999999999,-4.5698165,Gen 183 (Human)
MOL_H_00026,Cc1c(C2C(C)CCC2C(N)=O)nc(C(N)=O)c(F)c1C,-7.529,-4.232478,3.2965219999999995,-4.5662654,Gen 138 (Human)
MOL_H_00027,CCc1nc(C2CCC(C)C2C(N)=O)c(C)c(C(N)=O)c1Cl,-7.752,-4.562340000000001,3.189659999999999,-4.558361999999999,Gen 138 (Human)
MOL_H_00028,Cc1nc(-c2nc(C(N)=O)c(F)c(C)c2C)c(F)c(C(F)(F)F)c1C(F)(F)F,-8.7,-5.989172,2.710828,-4.5075796,Gen 134 (Human)
MOL_H_00029,Cc1c(C2CCC(C)C2C(N)=O)nc(C(N)=O)c(F)c1C(F)(F)F,-7.719,-4.589051000000001,3.129948999999999,-4.5066643,Gen 109 (Human)
MOL_H_00030,Cc1c(C(N)=O)nc(C(N)=O)c(F)c1C1C(C)CCC1C(F)(F)F,-7.753,-4.644036000000001,3.1089639999999994,-4.5021748,Gen 109 (Human)
MOL_H_00031,CCc1nc(C2C(C)CCC2C(N)=O)c(C)c(C(N)=O)c1F,-7.546,-4.349425,3.196575,-4.5014025,Gen 137 (Human)
MOL_H_00032,Cc1c(C2C(C)CCC2C(N)=O)nc(C2C(C)CCC2C(N)=O)c(F)c1C,-7.947,-4.927405000000001,3.019594999999999,-4.497816499999999,Gen 139 (Human)
MOL_H_00033,CCc1c(C2CCC(C)C2C(N)=O)nc(C(N)=O)c(F)c1C,-7.541,-4.349425000000001,3.1915749999999994,-4.4964025,Gen 128 (Human)
MOL_H_00034,Cc1c(C2CCC(C)C2C(N)=O)nc(CC(C)C)c(Cl)c1C(N)=O,-7.868,-4.841083000000001,3.026916999999999,-4.4792419,Gen 139 (Human)
MOL_H_00035,CCc1c(C)c(C(N)=O)nc(C2C(C)CCC2C(N)=O)c1F,-7.519,-4.349425000000001,3.169574999999999,-4.4744025,Gen 122 (Human)
MOL_H_00036,CCc1c(C(N)=O)nc(C(N)=O)c(F)c1C(F)(F)F,-7.272,-4.011071,3.260929,-4.4642503,Gen 107 (Human)
MOL_H_00037,Cc1c(C2C(C)CCC2C(F)(F)F)nc(C2CCC(C)C2C(N)=O)c(F)c1C,-8.545,-5.833569000000002,2.711430999999997,-4.461501699999999,Gen 133 (Human)
MOL_H_00038,Cc1c(C2C(C)CCC2C(N)=O)nc(C(N)=O)c(F)c1C(F)(F)F,-7.673,-4.589051000000001,3.0839489999999987,-4.4606643,Gen 109 (Human)
MOL_H_00039,CCC(C)c1c(C2CCC(C)C2C(N)=O)nc(C2C(C)CCC2C(N)=O)c(F)c1C,-8.263,-5.433345000000002,2.829654999999998,-4.459658499999999,Gen 169 (Human)
MOL_H_00040,Cc1nc(C2C(C)CCC2C(N)=O)c(F)c(C(N)=O)c1C,-7.42,-4.232478,3.1875219999999995,-4.4572654,Gen 138 (Human)
MOL_H_00041,CCC(C)c1c(C2CCC(C)C2C(N)=O)nc(C(N)=O)c(F)c1C(F)(F)F,-8.021,-5.094991000000001,2.926009,-4.4545063,Gen 112 (Human)
MOL_H_00042,Cc1nc(C2C(C)CCC2C(N)=O)c(F)c(C(F)(F)F)c1C(N)=O,-7.66,-4.589051000000001,3.070948999999999,-4.4476643,Gen 100 (Human)
MOL_H_00043,Cc1c(C(N)=O)nc(C2CCC(C)C2C(N)=O)c(F)c1CC(C)C,-7.67,-4.628168000000001,3.0418319999999985,-4.430282399999999,Gen 153 (Human)
MOL_H_00044,Cc1nc(C2C(C)CCC2C(N)=O)c(Cl)c(C(N)=O)c1C,-7.54,-4.445393,3.094607,-4.4282249,Gen 138 (Human)
MOL_H_00045,Cc1c(C2CCC(C)C2C(N)=O)nc(C(N)=O)c(Cl)c1C(F)(F)F,-7.782,-4.801966,2.980034,-4.4206238,Gen 110 (Human)
MOL_H_00046,CCc1c(F)c(C2C(C)CCC2C(N)=O)nc(C)c1C(N)=O,-7.458,-4.349425000000001,3.108574999999999,-4.4134025,Gen 122 (Human)
MOL_H_00047,NC(=O)c1nc(C(N)=O)c(C(F)(F)F)c(C(F)(F)F)c1F,-7.381,-4.250697000000001,3.130303,-4.4055121,Gen 102 (Human)
MOL_H_00048,Cc1c(C(N)=O)nc(C2C(C)CCC2C(N)=O)c(Cl)c1C,-7.509,-4.445393,3.063607,-4.3972249,Gen 130 (Human)
MOL_H_00049,NC(=O)c1nc(C(F)(F)F)c(F)c(C(F)(F)F)c1C(N)=O,-7.368,-4.250697000000001,3.117303,-4.3925121,Gen 104 (Human)
MOL_H_00050,COc1c(C(N)=O)c(C)nc(C2CCC(C)C2C(=O)CC(C)C)c1C(F)(F)F,-8.201,-5.445469000000003,2.7555309999999977,-4.389171699999999,Gen 5 (Human)
MOL_H_00051,Cc1nc(C2C(C)CCC2C(N)=O)c(F)c(C(N)=O)c1C(F)(F)F,-7.588,-4.589051,2.998949,-4.3756643,Gen 100 (Human)
MOL_H_00052,Cc1nc(-c2nc(C3CCC(C)C3C(N)=O)c(C)c(C)c2F)c(C)c(C(F)(F)F)c1F,-8.946,-6.3275260000000015,2.618473999999998,-4.359154396619997,Gen 163 (Human)
MOL_H_00053,Cc1c(F)c(C(N)=O)nc(C2CCC(C)C2C(N)=O)c1C(C)C,-7.553,-4.573829000000001,2.979170999999999,-4.3513197,Gen 130 (Human)
MOL_H_00054,Cc1c(C(F)(F)F)nc(C(N)=O)c(F)c1C1C(C)CCC1C(N)=O,-7.562,-4.589051000000001,2.972948999999999,-4.3496643,Gen 109 (Human)
MOL_H_00055,Cc1nc(C(N)=O)c(F)c(C(F)(F)F)c1C(N)=O,-7.068,-3.894124,3.1738759999999995,-4.3421132,Gen 102 (Human)
MOL_H_00056,Cc1nc(C2CCC(C)C2C(N)=O)c(F)c(C(N)=O)c1C(F)(F)F,-7.551,-4.589051,2.961949,-4.3386643,Gen 102 (Human)
MOL_H_00057,CCc1nc(C(N)=O)c(F)c(C(F)(F)F)c1C1CCC(C)C1C(N)=O,-7.629,-4.705998000000001,2.9230019999999985,-4.334801399999999,Gen 98 (Human)
MOL_H_00058,CC(C)Cc1nc(C(N)=O)c(F)c(C(F)(F)F)c1C1C(C)CCC1C(N)=O,-7.824,-4.9847410000000005,2.839259,-4.3346813,Gen 99 (Human)
MOL_H_00059,CCc1c(C(N)=O)nc(C2C(C)CCC2C(N)=O)c(F)c1C(F)(F)F,-7.628,-4.705998,2.922002,-4.3338014000000005,Gen 114 (Human)
MOL_H_00060,NC(=O)c1nc(C(F)(F)F)c(C(N)=O)c(C(F)(F)F)c1F,-7.307,-4.250697000000001,3.056303,-4.3315121,Gen 101 (Human)
MOL_H_00061,Cc1nc(-c2nc(C(C)C)c(C)c(C)c2F)c(C)c(C2C(C)CCC2C(N)=O)c1F,-8.876,-6.312304000000001,2.5636959999999984,-4.325674257919999,Gen 163 (Human)
MOL_H_00062,CC(C)c1c(C(N)=O)nc(C(N)=O)c(F)c1C1C(C)CCC1C(F)(F)F,-7.814,-4.985387000000002,2.828612999999998,-4.324229099999998,Gen 113 (Human)
MOL_H_00063,Cc1c(C2C(C)CCC2C(F)(F)F)nc(C(N)=O)c(F)c1C(N)=O,-7.574,-4.644036000000001,2.929963999999999,-4.323174799999999,Gen 109 (Human)
MOL_H_00064,Cc1nc(C(F)(F)F)c(F)c(C(F)(F)F)c1-c1nc(C(N)=O)c(F)c(C)c1C,-8.514,-5.989172000000001,2.5248279999999985,-4.321579599999999,Gen 135 (Human)
MOL_H_00065,Cc1nc(C(N)=O)c(F)c(C(N)=O)c1C1C(C)CCC1C(F)(F)F,-7.572,-4.644036000000001,2.927964,-4.3211748,Gen 104 (Human)
MOL_H_00066,CCc1c(C2CCC(C)C2C(N)=O)nc(C(N)=O)c(Cl)c1C,-7.506,-4.562340000000001,2.9436599999999995,-4.312362,Gen 131 (Human)
MOL_H_00067,Cc1c(C(N)=O)nc(C2C(C)CCC2C(F)(F)F)c(F)c1C(N)=O,-7.562,-4.644036000000001,2.917964,-4.3111748,Gen 109 (Human)
MOL_H_00068,Cc1c(C2CCC(C)C2C(N)=O)nc(C(F)(F)F)c(F)c1C(N)=O,-7.519,-4.589051000000001,2.929948999999999,-4.3066643,Gen 109 (Human)
MOL_H_00069,Cc1nc(C(N)=O)c(F)c(C2C(C)CCC2C(N)=O)c1C(F)(F)F,-7.517,-4.589051000000001,2.927948999999999,-4.3046643,Gen 104 (Human)
MOL_H_00070,CC(C)c1nc(C(N)=O)c(F)c(C(F)(F)F)c1C1CCC(C)C1C(N)=O,-7.752,-4.930402000000001,2.821597999999999,-4.3007186,Gen 98 (Human)
MOL_H_00071,CCC1C(C)CCC1c1nc(C(N)=O)c(C)c(C(N)=O)c1F,-7.453,-4.510845000000001,2.942155,-4.295408500000001,Gen 127 (Human)
MOL_H_00072,CC(C)Cc1c(C2CCC(C)C2C(N)=O)nc(C(N)=O)c(F)c1C(F)(F)F,-7.783,-4.9847410000000005,2.798259,-4.2936813,Gen 112 (Human)
MOL_H_00073,Cc1c(C(N)=O)nc(C2C(C)CCC2C(N)=O)c(F)c1CC(C)C,-7.529,-4.628168000000001,2.9008319999999985,-4.289282399999999,Gen 145 (Human)
MOL_H_00074,Cc1c(C(F)(F)F)nc(C(N)=O)c(F)c1C1CCC(C)C1C(N)=O,-7.498,-4.589051000000001,2.908948999999999,-4.2856643,Gen 109 (Human)
MOL_H_00075,COc1c(C)nc(C(F)(F)F)c(C(F)(F)F)c1C(N)=O,-7.567,-4.69601,2.87099,-4.279793,Gen 36 (Human)
MOL_H_00076,Cc1nc(-c2nc(C(N)=O)c(C)c(C)c2F)c(F)c(C(F)(F)F)c1C(F)(F)F,-8.465,-5.989172,2.475828,-4.2725796,Gen 134 (Human)
MOL_H_00077,CCc1nc(C2CCC(C)C2C(N)=O)c(F)c(C(N)=O)c1C,-7.315,-4.349425000000001,2.9655749999999994,-4.270402499999999,Gen 127 (Human)
MOL_H_00078,Cc1nc(C2CCC(C)C2C(C)C)c(F)c(C(N)=O)c1C(N)=O,-7.501,-4.624999000000001,2.876001,-4.2635007,Gen 121 (Human)
MOL_H_00079,CCc1c(C)c(C(N)=O)nc(C2C(C)CCC2C(N)=O)c1Cl,-7.457,-4.562340000000001,2.894659999999999,-4.263361999999999,Gen 135 (Human)
MOL_H_00080,Cc1c(C2C(C)CCC2C(N)=O)nc(C(F)(F)F)c(F)c1C(N)=O,-7.47,-4.589051000000001,2.8809489999999984,-4.257664299999999,Gen 109 (Human)
MOL_H_00081,Cc1nc(C(N)=O)c(C(N)=O)c(C(F)(F)F)c1C(F)(F)F,-7.263,-4.302033000000001,2.9609669999999992,-4.2515769,Gen 101 (Human)
MOL_H_00082,Cc1nc(C(F)(F)F)c(F)c(C(F)(F)F)c1-c1nc(C(N)=O)c(Cl)c(C)c1C,-8.606,-6.202087000000001,2.403913,-4.250973822154999,Gen 135 (Human)
MOL_H_00083,Cc1nc(C(N)=O)c(C(F)(F)F)c(C(F)(F)F)c1C(N)=O,-7.261,-4.302033000000001,2.9589669999999995,-4.249576899999999,Gen 98 (Human)
MOL_H_00084,Cc1c(C2CCC(C)C2C(C)C)nc(C(N)=O)c(F)c1C(N)=O,-7.483,-4.624999000000001,2.858000999999999,-4.245500699999999,Gen 158 (Human)
MOL_H_00085,CC(C)Cc1c(C(N)=O)nc(C(N)=O)c(F)c1C(F)(F)F,-7.246,-4.289814000000001,2.956186,-4.2431302,Gen 108 (Human)
MOL_H_00086,Cc1c(C2CCC(C)C2C(N)=O)nc(C(C)C)c(F)c1C(N)=O,-7.443,-4.573829000000001,2.869170999999999,-4.241319699999999,Gen 139 (Human)
MOL_H_00087,CCCc1c(C2CCC(C)C2C(N)=O)nc(C(N)=O)c(F)c1C,-7.401,-4.514014,2.8869859999999994,-4.2411902,Gen 128 (Human)
MOL_H_00088,CCc1nc(-c2nc(C3CCC(C)C3C(N)=O)c(C)c(C)c2F)c(C)c(C)c1F,-8.502,-6.087900000000001,2.4140999999999995,-4.24047,Gen 131 (Human)
MOL_H_00089,Cc1nc(C2C(C)CCC2C(N)=O)c(Cl)c(C(F)(F)F)c1C(N)=O,-7.601,-4.801966000000001,2.799033999999999,-4.2396238,Gen 101 (Human)
MOL_H_00090,CCc1c(C)nc(C2CCC(C)C2C(N)=O)c(F)c1C(N)=O,-7.283,-4.349425000000001,2.933575,-4.238402499999999,Gen 122 (Human)
