ID_Mestre,SMILES,1EVE_Eficacia,5W8K_Risco,Indice_Seletividade,Fitness_Score,Origem_Historica
MOL_00001,COc1c(Cl)ncc(C2CCC(C)C2C(=O)CC(C)C)c1C(C)=O,-9.993,-5.624,4.369000000000001,-6.0562000000000005,Gen 43
MOL_00002,Cc1cc(C=NO)c(C2CCC(C)C2C(=O)CC(C)C)cn1,-10.18,-6.083,4.097,-5.9219,Fase 4_Mutantes Geração 2
MOL_00003,COc1cc(C=CF)c(C2CCC(C)C2C(=O)CCC(C)C)c(OC)n1,-10.06,-6.04,4.0200000000000005,-5.832000000000001,Gen 27
MOL_00004,CC(=O)c1ccncc1C1CCC(C)C1C(=O)CC(C)C,-9.735,-5.679,4.056,-5.7597,Fase 4_Mutantes Geração 2
MOL_00005,CC(=O)c1c(O)c(C)nc(O)c1C1CCC(C)C1C(=O)CC(C)C,-10.1,-6.193,3.907,-5.755655,Gen 105
MOL_00006,CC(=O)c1c(C2CCC(C)C2C(=O)CC(C)C)cnc(Cl)c1F,-9.89,-5.944,3.9460000000000006,-5.7292000000000005,Gen 37
MOL_00007,CC(=O)c1ccnc(C)c1C1CCC(C)C1C(=O)C(C)C(C)C,-9.707,-5.784,3.923000000000001,-5.658200000000001,Gen 48
MOL_00008,C=C=Cc1cc(F)ncc1C1CCC(C)C1C(=O)C(C)=CC,-10.07,-6.243,3.827,-5.656655000000001,Gen 8
MOL_00009,CC(=O)c1c(C2CCC(C)C2C(=O)CC(C)C)cnc(F)c1F,-9.891,-6.058,3.833,-5.6504,Gen 30
MOL_00010,COc1nc(C)c(C)c(C(C)=O)c1C1CCC(C)C1C(=O)CC(C)C,-9.94,-6.144,3.796,-5.6392,Gen 84
MOL_00011,CCC(=O)c1c(F)c(Cl)nc(F)c1C1CCC(C)C1C(=O)CC(C)C,-9.925,-6.182,3.743,-5.592480000000001,Gen 31
MOL_00012,CC(C)CC(=O)C1C(C)CCC1c1cncc(O)c1C(=O)C(C)C,-9.991,-6.292,3.699,-5.485780000000001,Gen 49
MOL_00013,CCC(=O)c1cnccc1-c1ccncc1C1C(C)CCC1C(=O)CC,-10.0,-6.298,3.702,-5.48188,Gen 83
MOL_00014,CCCCC(=O)C1C(C)CCC1c1c(OC)nc(OC)c(F)c1C=CF,-9.802,-6.211,3.591,-5.435695,Gen 30
MOL_00015,CCC(=O)c1c(C(C)=O)nc(C)c(C)c1C1CCC(C)C1OC,-9.608,-5.968,3.640000000000001,-5.430400000000001,Gen 90
MOL_00016,CCOc1nc(C)c(O)c(C(C)=O)c1C1CCC(C)C1C(=O)CC(C)C,-9.676,-6.114,3.5620000000000003,-5.3962,Gen 88
MOL_00017,CC(=O)C1C(C)CCC1c1c(C(=O)C(C)C(C)C)ccnc1C,-10.06,-6.363,3.697,-5.379055,Gen 58
MOL_00018,CC(=O)c1c(C2CCC(C)C2C(=O)CC(C)C)cncc1C(F)(F)Cl,-9.609,-6.051,3.558,-5.3733,Gen 42
MOL_00019,CCC(=O)c1c(C2CC2)cncc1C1CCC(C)C1C(=O)CC(C)C,-9.379,-5.726,3.653,-5.3708,Gen 40
MOL_00020,COc1c(F)ncc(C2CCC(C)C2C(=O)CC(C)C)c1C(C)=O,-9.522,-5.948,3.574,-5.3584000000000005,Gen 41
MOL_00021,COc1nc(C)c(C)c(C(C)=O)c1C1CCC(C)C1C(C)=O,-9.599,-6.059,3.54,-5.3577,Gen 146
MOL_00022,CCCCCCC(=O)C1C(C)CCC1c1c(OC)ncc(Cl)c1C=CF,-9.431,-5.849,3.581999999999999,-5.3366999999999996,Gen 29
MOL_00023,CCCCC(=O)C1C(C)CCC1c1c(OC)ncc(F)c1C=CF,-9.523,-6.032,3.491,-5.3006,Gen 26
MOL_00024,COC1C(C)CCC1c1c(O)nc(C)c(O)c1C(=O)CCC(C)C,-9.584,-6.126,3.458,-5.2958,Gen 129
MOL_00025,CC1CCC(c2cncc(C3CC3)c2C#N)C1C(N)=O,-9.247,-5.646,3.601,-5.2948,Gen 13
MOL_00026,CCCCC(=O)C1C(C)CCC1c1c(C=CF)ccnc1OC,-9.354,-5.838,3.515999999999999,-5.267399999999999,Gen 24
MOL_00027,CCC(=O)c1c(C2CCC(C)C2C(=O)CC(C)C)cnc(F)c1OC,-9.494,-6.046,3.4479999999999995,-5.2618,Gen 43
MOL_00028,CC(=O)c1c(C)c(C)nc(C(=O)CC(C)C)c1C1CCC(C)C1C(C)=O,-9.72,-6.278,3.442000000000001,-5.243480000000002,Gen 146
MOL_00029,COc1c(O)ncc(C2CCC(C)C2C(=O)C(C)C(C)C)c1C(C)=O,-9.646,-6.237,3.4090000000000007,-5.242255000000001,Gen 61
MOL_00030,CCCCC(=O)C1C(C)CCC1c1c(C=CF)cc(OC)nc1OC,-9.303,-5.814,3.4890000000000008,-5.233200000000001,Gen 26
MOL_00031,CC(=O)c1c(C2CC2)cncc1C1CCC(C)C1C(N)=O,-9.771,-6.312,3.4590000000000005,-5.221380000000001,Gen 42
MOL_00032,CC(=O)c1c(C2CCC(C)C2C(=O)CC(C)C)cnc(C)c1O,-9.466,-6.077,3.389,-5.2120999999999995,Gen 42
MOL_00033,COC1C(C)CCC1c1cnccc1-c1cnccc1C(=O)CC(C)C,-9.523,-6.185,3.338,-5.187375,Gen 158
MOL_00034,CCC1CCC(c2c(F)ncc(C3CC3)c2C#N)C1C(N)=O,-9.474,-6.134,3.34,-5.1802,Gen 28
MOL_00035,CCC(C)C(=O)C1C(C)CCC1c1c(C#N)ccnc1C(F)(F)F,-9.215,-5.766,3.449,-5.1788,Gen 15
MOL_00036,COc1nc(C)c(C)c(C(C)=O)c1C1CCC(C)C1OC,-9.079,-5.596,3.4830000000000005,-5.161800000000001,Gen 146
MOL_00037,CCCCCCC(=O)C1C(C)CCC1c1c(OC)nc(F)c(Cl)c1C=CF,-9.76,-6.333,3.427,-5.159455,Gen 36
MOL_00038,CCCCCCC(=O)C1C(C)CCC1c1c(OC)ncc(F)c1C=CF,-9.099,-5.65,3.449,-5.144,Gen 27
MOL_00039,C=C=Cc1ccncc1C1CCC(C)C1C(=O)C(C)=CCC,-9.434,-6.131,3.302999999999999,-5.1423,Gen 8
MOL_00040,CCC(=O)c1c(C2CCC(C)C2C(C)=O)nc(C)c(C)c1C(=O)CC,-9.453,-6.176,3.2769999999999992,-5.1264199999999995,Gen 98
MOL_00041,COc1ncc(C2CCC(C)C2C(=O)CC(C)C)c(C(C)=O)c1O,-9.274,-5.931,3.342999999999999,-5.122299999999999,Gen 60
MOL_00042,Cc1nc(O)c(C2CCC(C)C2C(=O)CC(C)C)c(C=NO)c1C,-9.49,-6.216,3.274,-5.117020000000001,Gen 24
MOL_00043,CC(=O)c1cncc(C2CC2)c1C1CCC(C)C1C(C)=O,-9.314,-6.021,3.293,-5.0993,Gen 73
MOL_00044,COc1ncc(C)c(C=CF)c1C1CCC(C)C1C(=O)CCC(C)C,-9.433,-6.192,3.241,-5.08978,Gen 30
MOL_00045,Cc1ncc(C2CCC(C)C2C(=O)CC(C)C)c(C=NO)c1C,-9.187,-5.869,3.318,-5.0786999999999995,Evolução Interativa Gen 6
MOL_00046,CCC(=O)c1cncc(C2CC2)c1C1CCC(C)C1C(=O)CC,-9.232,-5.934,3.297999999999999,-5.0782,Gen 73
MOL_00047,CCC(=O)C1C(C)CCC1c1cncc(C2CC2)c1C#N,-9.368,-6.13,3.2380000000000004,-5.077000000000001,Gen 13
