ID_Mestre,SMILES,1EVE_Eficacia,5W8K_Risco,Indice_Seletividade,Fitness_Score,Origem_Historica
MOL_00001,COc1c(Cl)ncc(C2CCC(C)C2C(=O)CC(C)C)c1C(C)=O,-9.993,-5.624,4.369000000000001,-6.0562000000000005,Gen 43
MOL_00002,Cc1cc(C=NO)c(C2CCC(C)C2C(=O)CC(C)C)cn1,-10.18,-6.083,4.097,-5.9219,Fase 4_Mutantes Geração 2
MOL_00003,COc1cc(C=CF)c(C2CCC(C)C2C(=O)CCC(C)C)c(OC)n1,-10.06,-6.04,4.0200000000000005,-5.832000000000001,Gen 27
MOL_00004,CC(=O)c1ccncc1C1CCC(C)C1C(=O)CC(C)C,-9.735,-5.679,4.056,-5.7597,Fase 4_Mutantes Geração 2
MOL_00005,CC(=O)c1c(O)c(C)nc(O)c1C1CCC(C)C1C(=O)CC(C)C,-10.1,-6.193,3.907,-5.755655,Gen 105
MOL_00006,CC(=O)c1c(C2CCC(C)C2C(=O)CC(C)C)cnc(Cl)c1F,-9.89,-5.944,3.9460000000000006,-5.7292000000000005,Gen 37
MOL_00007,CC(=O)c1ccnc(C)c1C1CCC(C)C1C(=O)C(C)C(C)C,-9.707,-5.784,3.923000000000001,-5.658200000000001,Gen 48
MOL_00008,C=C=Cc1cc(F)ncc1C1CCC(C)C1C(=O)C(C)=CC,-10.07,-6.243,3.827,-5.656655000000001,Gen 8
MOL_00009,CC(=O)c1c(C2CCC(C)C2C(=O)CC(C)C)cnc(F)c1F,-9.891,-6.058,3.833,-5.6504,Gen 30
MOL_00010,COc1nc(C)c(C)c(C(C)=O)c1C1CCC(C)C1C(=O)CC(C)C,-9.94,-6.144,3.796,-5.6392,Gen 84
