ID_Mestre,SMILES,Eficacia_Humana_4EY7,5W8K_Risco,Novo_Fitness_Score,Diferenca_Bio
MOL_00004,CC(=O)c1ccncc1C1CCC(C)C1C(=O)CC(C)C,-6.07,-5.679,-2.0947000000000005,3.664999999999999
MOL_00002,Cc1cc(C=NO)c(C2CCC(C)C2C(=O)CC(C)C)cn1,-6.259,-6.083,-2.0009000000000006,3.9209999999999994
MOL_00010,COc1nc(C)c(C)c(C(C)=O)c1C1CCC(C)C1C(=O)CC(C)C,-6.287,-6.144,-1.9862000000000002,3.6529999999999996
MOL_00009,CC(=O)c1c(C2CCC(C)C2C(=O)CC(C)C)cnc(F)c1F,-6.212,-6.058,-1.9714,3.6790000000000003
MOL_00001,COc1c(Cl)ncc(C2CCC(C)C2C(=O)CC(C)C)c1C(C)=O,-5.899,-5.624,-1.9622000000000006,4.094
MOL_00008,C=C=Cc1cc(F)ncc1C1CCC(C)C1C(=O)C(C)=CC,-6.312,-6.243,-1.8986550000000006,3.758
MOL_00007,CC(=O)c1ccnc(C)c1C1CCC(C)C1C(=O)C(C)C(C)C,-5.805,-5.784,-1.7561999999999998,3.902000000000001
MOL_00006,CC(=O)c1c(C2CCC(C)C2C(=O)CC(C)C)cnc(Cl)c1F,-5.732,-5.944,-1.5712000000000002,4.158
MOL_00005,CC(=O)c1c(O)c(C)nc(O)c1C1CCC(C)C1C(=O)CC(C)C,-5.857,-6.193,-1.5126550000000005,4.242999999999999
MOL_00003,COc1cc(C=CF)c(C2CCC(C)C2C(=O)CCC(C)C)c(OC)n1,-5.698,-6.04,-1.4700000000000006,4.362
