legacy_record_id,source_file,source_row,original_identifier,original_smiles,original_inchi,original_inchikey,original_identity,normalized_isomeric_smiles,inchi,inchikey,formula,heavy_atom_count,normalized_identity,identity_status,legacy_roles,legacy_source_count,historical_label,legacy_metrics,source_provenance,evidence_origin,evidence_level,experimental_validation,promotion_to_current_evidence
LEGACY-INCHIKEY-AAEZZIGDDBXQPK-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,3362,MOL_03361,CCCC(=O)C1C(C)CCC1c1c(OC)ncc(C(F)(F)F)c1C=CF,,,"{""identifier"":""MOL_03361"",""inchi"":"""",""inchikey"":"""",""smiles"":""CCCC(=O)C1C(C)CCC1c1c(OC)ncc(C(F)(F)F)c1C=CF""}",CCCC(=O)C1C(C)CCC1c1c(OC)ncc(C(F)(F)F)c1C=CF,"InChI=1S/C19H23F4NO2/c1-4-5-15(25)16-11(2)6-7-13(16)17-12(8-9-20)14(19(21,22)23)10-24-18(17)26-3/h8-11,13,16H,4-7H2,1-3H3",AAEZZIGDDBXQPK-UHFFFAOYSA-N,C19H23F4NO2,26,"{""formula"":""C19H23F4NO2"",""heavy_atom_count"":26,""inchi"":""InChI=1S/C19H23F4NO2/c1-4-5-15(25)16-11(2)6-7-13(16)17-12(8-9-20)14(19(21,22)23)10-24-18(17)26-3/h8-11,13,16H,4-7H2,1-3H3"",""inchikey"":""AAEZZIGDDBXQPK-UHFFFAOYSA-N"",""isomeric_smiles"":""CCCC(=O)C1C(C)CCC1c1c(OC)ncc(C(F)(F)F)c1C=CF""}",IDENTITY_VALID,MASTER_UNIFIED,1,,"[{""1EVE_Eficacia"":-7.616,""5W8K_Risco"":-6.64,""Fitness_Score"":-1.7675000000000036,""Indice_Seletividade"":0.976,""Origem_Historica"":""Gen 33""}]","[{""historical_label"":"""",""historical_label_source"":"""",""legacy_metrics"":{""1EVE_Eficacia"":-7.616,""5W8K_Risco"":-6.64,""Fitness_Score"":-1.7675000000000036,""Indice_Seletividade"":0.976,""Origem_Historica"":""Gen 33""},""original_identifier"":""MOL_03361"",""original_inchi"":"""",""original_inchikey"":"""",""original_smiles"":""CCCC(=O)C1C(C)CCC1c1c(OC)ncc(C(F)(F)F)c1C=CF"",""source_file"":""formolecular/novo_horizonte/banco_mestre_unificado.csv"",""source_role"":""MASTER_UNIFIED"",""source_row"":3362,""source_sha256"":""57bfc3ecf9219e1cb7017892371771f82bd473cdf13250d0643fbf1dac12cb4b""}]",LEGACY,COMPUTATIONAL,NONE,FORBIDDEN
LEGACY-INCHIKEY-AAFOKVPCVKGERD-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,1722,MOL_01721,CC(=O)C1C(N)CCC1c1cnccc1C#N,,,"{""identifier"":""MOL_01721"",""inchi"":"""",""inchikey"":"""",""smiles"":""CC(=O)C1C(N)CCC1c1cnccc1C#N""}",CC(=O)C1C(N)CCC1c1cnccc1C#N,"InChI=1S/C13H15N3O/c1-8(17)13-10(2-3-12(13)15)11-7-16-5-4-9(11)6-14/h4-5,7,10,12-13H,2-3,15H2,1H3",AAFOKVPCVKGERD-UHFFFAOYSA-N,C13H15N3O,17,"{""formula"":""C13H15N3O"",""heavy_atom_count"":17,""inchi"":""InChI=1S/C13H15N3O/c1-8(17)13-10(2-3-12(13)15)11-7-16-5-4-9(11)6-14/h4-5,7,10,12-13H,2-3,15H2,1H3"",""inchikey"":""AAFOKVPCVKGERD-UHFFFAOYSA-N"",""isomeric_smiles"":""CC(=O)C1C(N)CCC1c1cnccc1C#N""}",IDENTITY_VALID,MASTER_UNIFIED,1,,"[{""1EVE_Eficacia"":-7.614,""5W8K_Risco"":-6.243,""Fitness_Score"":-3.2006550000000002,""Indice_Seletividade"":1.371,""Origem_Historica"":""Fase 2_Seletividade""}]","[{""historical_label"":"""",""historical_label_source"":"""",""legacy_metrics"":{""1EVE_Eficacia"":-7.614,""5W8K_Risco"":-6.243,""Fitness_Score"":-3.2006550000000002,""Indice_Seletividade"":1.371,""Origem_Historica"":""Fase 2_Seletividade""},""original_identifier"":""MOL_01721"",""original_inchi"":"""",""original_inchikey"":"""",""original_smiles"":""CC(=O)C1C(N)CCC1c1cnccc1C#N"",""source_file"":""formolecular/novo_horizonte/banco_mestre_unificado.csv"",""source_role"":""MASTER_UNIFIED"",""source_row"":1722,""source_sha256"":""57bfc3ecf9219e1cb7017892371771f82bd473cdf13250d0643fbf1dac12cb4b""}]",LEGACY,COMPUTATIONAL,NONE,FORBIDDEN
LEGACY-INCHIKEY-AAKGQNMNJCSORB-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,2069,MOL_02068,NC(=O)C(=O)C1C(F)CCC1c1cnccc1I,,,"{""identifier"":""MOL_02068"",""inchi"":"""",""inchikey"":"""",""smiles"":""NC(=O)C(=O)C1C(F)CCC1c1cnccc1I""}",NC(=O)C(=O)C1C(F)CCC1c1cnccc1I,"InChI=1S/C12H12FIN2O2/c13-8-2-1-6(10(8)11(17)12(15)18)7-5-16-4-3-9(7)14/h3-6,8,10H,1-2H2,(H2,15,18)",AAKGQNMNJCSORB-UHFFFAOYSA-N,C12H12FIN2O2,18,"{""formula"":""C12H12FIN2O2"",""heavy_atom_count"":18,""inchi"":""InChI=1S/C12H12FIN2O2/c13-8-2-1-6(10(8)11(17)12(15)18)7-5-16-4-3-9(7)14/h3-6,8,10H,1-2H2,(H2,15,18)"",""inchikey"":""AAKGQNMNJCSORB-UHFFFAOYSA-N"",""isomeric_smiles"":""NC(=O)C(=O)C1C(F)CCC1c1cnccc1I""}",IDENTITY_VALID,MASTER_UNIFIED,1,,"[{""1EVE_Eficacia"":-8.269,""5W8K_Risco"":-6.525,""Fitness_Score"":-2.9983750000000002,""Indice_Seletividade"":1.744,""Origem_Historica"":""Fase 2_Seletividade""}]","[{""historical_label"":"""",""historical_label_source"":"""",""legacy_metrics"":{""1EVE_Eficacia"":-8.269,""5W8K_Risco"":-6.525,""Fitness_Score"":-2.9983750000000002,""Indice_Seletividade"":1.744,""Origem_Historica"":""Fase 2_Seletividade""},""original_identifier"":""MOL_02068"",""original_inchi"":"""",""original_inchikey"":"""",""original_smiles"":""NC(=O)C(=O)C1C(F)CCC1c1cnccc1I"",""source_file"":""formolecular/novo_horizonte/banco_mestre_unificado.csv"",""source_role"":""MASTER_UNIFIED"",""source_row"":2069,""source_sha256"":""57bfc3ecf9219e1cb7017892371771f82bd473cdf13250d0643fbf1dac12cb4b""}]",LEGACY,COMPUTATIONAL,NONE,FORBIDDEN
LEGACY-INCHIKEY-AALIOCLBNQSGAX-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,2266,MOL_02265,CC(=O)c1ccnc(C2CC2)c1C1CCC(C)C1C(=O)CC(C)C,,,"{""identifier"":""MOL_02265"",""inchi"":"""",""inchikey"":"""",""smiles"":""CC(=O)c1ccnc(C2CC2)c1C1CCC(C)C1C(=O)CC(C)C""}",CC(=O)c1ccnc(C2CC2)c1C1CCC(C)C1C(=O)CC(C)C,"InChI=1S/C21H29NO2/c1-12(2)11-18(24)19-13(3)5-8-17(19)20-16(14(4)23)9-10-22-21(20)15-6-7-15/h9-10,12-13,15,17,19H,5-8,11H2,1-4H3",AALIOCLBNQSGAX-UHFFFAOYSA-N,C21H29NO2,24,"{""formula"":""C21H29NO2"",""heavy_atom_count"":24,""inchi"":""InChI=1S/C21H29NO2/c1-12(2)11-18(24)19-13(3)5-8-17(19)20-16(14(4)23)9-10-22-21(20)15-6-7-15/h9-10,12-13,15,17,19H,5-8,11H2,1-4H3"",""inchikey"":""AALIOCLBNQSGAX-UHFFFAOYSA-N"",""isomeric_smiles"":""CC(=O)c1ccnc(C2CC2)c1C1CCC(C)C1C(=O)CC(C)C""}",IDENTITY_VALID,MASTER_UNIFIED,1,,"[{""1EVE_Eficacia"":-7.314,""5W8K_Risco"":-6.248,""Fitness_Score"":-2.89238,""Indice_Seletividade"":1.0659999999999998,""Origem_Historica"":""Gen 16""}]","[{""historical_label"":"""",""historical_label_source"":"""",""legacy_metrics"":{""1EVE_Eficacia"":-7.314,""5W8K_Risco"":-6.248,""Fitness_Score"":-2.89238,""Indice_Seletividade"":1.0659999999999998,""Origem_Historica"":""Gen 16""},""original_identifier"":""MOL_02265"",""original_inchi"":"""",""original_inchikey"":"""",""original_smiles"":""CC(=O)c1ccnc(C2CC2)c1C1CCC(C)C1C(=O)CC(C)C"",""source_file"":""formolecular/novo_horizonte/banco_mestre_unificado.csv"",""source_role"":""MASTER_UNIFIED"",""source_row"":2266,""source_sha256"":""57bfc3ecf9219e1cb7017892371771f82bd473cdf13250d0643fbf1dac12cb4b""}]",LEGACY,COMPUTATIONAL,NONE,FORBIDDEN
LEGACY-INCHIKEY-AAPXPLOAGNIOSU-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,3029,MOL_03028,CCCC(=O)C1C(S)CCC1c1cnccc1N,,,"{""identifier"":""MOL_03028"",""inchi"":"""",""inchikey"":"""",""smiles"":""CCCC(=O)C1C(S)CCC1c1cnccc1N""}",CCCC(=O)C1C(S)CCC1c1cnccc1N,"InChI=1S/C14H20N2OS/c1-2-3-12(17)14-9(4-5-13(14)18)10-8-16-7-6-11(10)15/h6-9,13-14,18H,2-5H2,1H3,(H2,15,16)",AAPXPLOAGNIOSU-UHFFFAOYSA-N,C14H20N2OS,18,"{""formula"":""C14H20N2OS"",""heavy_atom_count"":18,""inchi"":""InChI=1S/C14H20N2OS/c1-2-3-12(17)14-9(4-5-13(14)18)10-8-16-7-6-11(10)15/h6-9,13-14,18H,2-5H2,1H3,(H2,15,16)"",""inchikey"":""AAPXPLOAGNIOSU-UHFFFAOYSA-N"",""isomeric_smiles"":""CCCC(=O)C1C(S)CCC1c1cnccc1N""}",IDENTITY_VALID,MASTER_UNIFIED,1,,"[{""1EVE_Eficacia"":-6.412,""5W8K_Risco"":-5.867,""Fitness_Score"":-2.3051000000000004,""Indice_Seletividade"":0.545,""Origem_Historica"":""Fase 2_Seletividade""}]","[{""historical_label"":"""",""historical_label_source"":"""",""legacy_metrics"":{""1EVE_Eficacia"":-6.412,""5W8K_Risco"":-5.867,""Fitness_Score"":-2.3051000000000004,""Indice_Seletividade"":0.545,""Origem_Historica"":""Fase 2_Seletividade""},""original_identifier"":""MOL_03028"",""original_inchi"":"""",""original_inchikey"":"""",""original_smiles"":""CCCC(=O)C1C(S)CCC1c1cnccc1N"",""source_file"":""formolecular/novo_horizonte/banco_mestre_unificado.csv"",""source_role"":""MASTER_UNIFIED"",""source_row"":3029,""source_sha256"":""57bfc3ecf9219e1cb7017892371771f82bd473cdf13250d0643fbf1dac12cb4b""}]",LEGACY,COMPUTATIONAL,NONE,FORBIDDEN
LEGACY-INCHIKEY-AATCBDNMGZWOAN-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,3036,MOL_03035,CC(=O)c1ccnc(C)c1C1C(C)CCC1C(=O)CC(C)C,,,"{""identifier"":""MOL_03035"",""inchi"":"""",""inchikey"":"""",""smiles"":""CC(=O)c1ccnc(C)c1C1C(C)CCC1C(=O)CC(C)C""}",CC(=O)c1ccnc(C)c1C1C(C)CCC1C(=O)CC(C)C,"InChI=1S/C19H27NO2/c1-11(2)10-17(22)16-7-6-12(3)18(16)19-13(4)20-9-8-15(19)14(5)21/h8-9,11-12,16,18H,6-7,10H2,1-5H3",AATCBDNMGZWOAN-UHFFFAOYSA-N,C19H27NO2,22,"{""formula"":""C19H27NO2"",""heavy_atom_count"":22,""inchi"":""InChI=1S/C19H27NO2/c1-11(2)10-17(22)16-7-6-12(3)18(16)19-13(4)20-9-8-15(19)14(5)21/h8-9,11-12,16,18H,6-7,10H2,1-5H3"",""inchikey"":""AATCBDNMGZWOAN-UHFFFAOYSA-N"",""isomeric_smiles"":""CC(=O)c1ccnc(C)c1C1C(C)CCC1C(=O)CC(C)C""}",IDENTITY_VALID,MASTER_UNIFIED,1,,"[{""1EVE_Eficacia"":-8.1,""5W8K_Risco"":-6.632,""Fitness_Score"":-2.2959800000000037,""Indice_Seletividade"":1.468,""Origem_Historica"":""Gen 65""}]","[{""historical_label"":"""",""historical_label_source"":"""",""legacy_metrics"":{""1EVE_Eficacia"":-8.1,""5W8K_Risco"":-6.632,""Fitness_Score"":-2.2959800000000037,""Indice_Seletividade"":1.468,""Origem_Historica"":""Gen 65""},""original_identifier"":""MOL_03035"",""original_inchi"":"""",""original_inchikey"":"""",""original_smiles"":""CC(=O)c1ccnc(C)c1C1C(C)CCC1C(=O)CC(C)C"",""source_file"":""formolecular/novo_horizonte/banco_mestre_unificado.csv"",""source_role"":""MASTER_UNIFIED"",""source_row"":3036,""source_sha256"":""57bfc3ecf9219e1cb7017892371771f82bd473cdf13250d0643fbf1dac12cb4b""}]",LEGACY,COMPUTATIONAL,NONE,FORBIDDEN
LEGACY-INCHIKEY-AAUJETAJCJPKSW-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,2251,MOL_02250,CCCC(=O)C1C(OC)CCC1c1cnccc1F,,,"{""identifier"":""MOL_02250"",""inchi"":"""",""inchikey"":"""",""smiles"":""CCCC(=O)C1C(OC)CCC1c1cnccc1F""}",CCCC(=O)C1C(OC)CCC1c1cnccc1F,"InChI=1S/C15H20FNO2/c1-3-4-13(18)15-10(5-6-14(15)19-2)11-9-17-8-7-12(11)16/h7-10,14-15H,3-6H2,1-2H3",AAUJETAJCJPKSW-UHFFFAOYSA-N,C15H20FNO2,19,"{""formula"":""C15H20FNO2"",""heavy_atom_count"":19,""inchi"":""InChI=1S/C15H20FNO2/c1-3-4-13(18)15-10(5-6-14(15)19-2)11-9-17-8-7-12(11)16/h7-10,14-15H,3-6H2,1-2H3"",""inchikey"":""AAUJETAJCJPKSW-UHFFFAOYSA-N"",""isomeric_smiles"":""CCCC(=O)C1C(OC)CCC1c1cnccc1F""}",IDENTITY_VALID,MASTER_UNIFIED,1,,"[{""1EVE_Eficacia"":-6.678,""5W8K_Risco"":-5.395,""Fitness_Score"":-2.9015000000000004,""Indice_Seletividade"":1.283,""Origem_Historica"":""Fase 2_Seletividade""}]","[{""historical_label"":"""",""historical_label_source"":"""",""legacy_metrics"":{""1EVE_Eficacia"":-6.678,""5W8K_Risco"":-5.395,""Fitness_Score"":-2.9015000000000004,""Indice_Seletividade"":1.283,""Origem_Historica"":""Fase 2_Seletividade""},""original_identifier"":""MOL_02250"",""original_inchi"":"""",""original_inchikey"":"""",""original_smiles"":""CCCC(=O)C1C(OC)CCC1c1cnccc1F"",""source_file"":""formolecular/novo_horizonte/banco_mestre_unificado.csv"",""source_role"":""MASTER_UNIFIED"",""source_row"":2251,""source_sha256"":""57bfc3ecf9219e1cb7017892371771f82bd473cdf13250d0643fbf1dac12cb4b""}]",LEGACY,COMPUTATIONAL,NONE,FORBIDDEN
LEGACY-INCHIKEY-AAZYTOVRIWMLTE-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,3541,MOL_03540,CNC(=O)C1C(C#N)CCC1c1cnccc1I,,,"{""identifier"":""MOL_03540"",""inchi"":"""",""inchikey"":"""",""smiles"":""CNC(=O)C1C(C#N)CCC1c1cnccc1I""}",CNC(=O)C1C(C#N)CCC1c1cnccc1I,"InChI=1S/C13H14IN3O/c1-16-13(18)12-8(6-15)2-3-9(12)10-7-17-5-4-11(10)14/h4-5,7-9,12H,2-3H2,1H3,(H,16,18)",AAZYTOVRIWMLTE-UHFFFAOYSA-N,C13H14IN3O,18,"{""formula"":""C13H14IN3O"",""heavy_atom_count"":18,""inchi"":""InChI=1S/C13H14IN3O/c1-16-13(18)12-8(6-15)2-3-9(12)10-7-17-5-4-11(10)14/h4-5,7-9,12H,2-3H2,1H3,(H,16,18)"",""inchikey"":""AAZYTOVRIWMLTE-UHFFFAOYSA-N"",""isomeric_smiles"":""CNC(=O)C1C(C#N)CCC1c1cnccc1I""}",IDENTITY_VALID,MASTER_UNIFIED,1,,"[{""1EVE_Eficacia"":-6.087,""5W8K_Risco"":-6.498,""Fitness_Score"":-0.9328800000000008,""Indice_Seletividade"":-0.411,""Origem_Historica"":""Fase 2_Seletividade""}]","[{""historical_label"":"""",""historical_label_source"":"""",""legacy_metrics"":{""1EVE_Eficacia"":-6.087,""5W8K_Risco"":-6.498,""Fitness_Score"":-0.9328800000000008,""Indice_Seletividade"":-0.411,""Origem_Historica"":""Fase 2_Seletividade""},""original_identifier"":""MOL_03540"",""original_inchi"":"""",""original_inchikey"":"""",""original_smiles"":""CNC(=O)C1C(C#N)CCC1c1cnccc1I"",""source_file"":""formolecular/novo_horizonte/banco_mestre_unificado.csv"",""source_role"":""MASTER_UNIFIED"",""source_row"":3541,""source_sha256"":""57bfc3ecf9219e1cb7017892371771f82bd473cdf13250d0643fbf1dac12cb4b""}]",LEGACY,COMPUTATIONAL,NONE,FORBIDDEN
LEGACY-INCHIKEY-ABCFPEYNRMDEOS-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,3308,MOL_03307,CCOC(=O)C1C(O)CCC1c1cnccc1C1CC1,,,"{""identifier"":""MOL_03307"",""inchi"":"""",""inchikey"":"""",""smiles"":""CCOC(=O)C1C(O)CCC1c1cnccc1C1CC1""}",CCOC(=O)C1C(O)CCC1c1cnccc1C1CC1,"InChI=1S/C16H21NO3/c1-2-20-16(19)15-12(5-6-14(15)18)13-9-17-8-7-11(13)10-3-4-10/h7-10,12,14-15,18H,2-6H2,1H3",ABCFPEYNRMDEOS-UHFFFAOYSA-N,C16H21NO3,20,"{""formula"":""C16H21NO3"",""heavy_atom_count"":20,""inchi"":""InChI=1S/C16H21NO3/c1-2-20-16(19)15-12(5-6-14(15)18)13-9-17-8-7-11(13)10-3-4-10/h7-10,12,14-15,18H,2-6H2,1H3"",""inchikey"":""ABCFPEYNRMDEOS-UHFFFAOYSA-N"",""isomeric_smiles"":""CCOC(=O)C1C(O)CCC1c1cnccc1C1CC1""}",IDENTITY_VALID,MASTER_UNIFIED,1,,"[{""1EVE_Eficacia"":-6.115,""5W8K_Risco"":-6.039,""Fitness_Score"":-1.8877000000000006,""Indice_Seletividade"":0.076,""Origem_Historica"":""Fase 2_Seletividade""}]","[{""historical_label"":"""",""historical_label_source"":"""",""legacy_metrics"":{""1EVE_Eficacia"":-6.115,""5W8K_Risco"":-6.039,""Fitness_Score"":-1.8877000000000006,""Indice_Seletividade"":0.076,""Origem_Historica"":""Fase 2_Seletividade""},""original_identifier"":""MOL_03307"",""original_inchi"":"""",""original_inchikey"":"""",""original_smiles"":""CCOC(=O)C1C(O)CCC1c1cnccc1C1CC1"",""source_file"":""formolecular/novo_horizonte/banco_mestre_unificado.csv"",""source_role"":""MASTER_UNIFIED"",""source_row"":3308,""source_sha256"":""57bfc3ecf9219e1cb7017892371771f82bd473cdf13250d0643fbf1dac12cb4b""}]",LEGACY,COMPUTATIONAL,NONE,FORBIDDEN
LEGACY-INCHIKEY-ABGQMUYAGYSMJU-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,182,MOL_00181,CC(=O)c1cc(C)ncc1C1CCC(C)C1C(=O)C(C)C(C)C,,,"{""identifier"":""MOL_00181"",""inchi"":"""",""inchikey"":"""",""smiles"":""CC(=O)c1cc(C)ncc1C1CCC(C)C1C(=O)C(C)C(C)C""}",CC(=O)c1cc(C)ncc1C1CCC(C)C1C(=O)C(C)C(C)C,"InChI=1S/C20H29NO2/c1-11(2)14(5)20(23)19-12(3)7-8-16(19)18-10-21-13(4)9-17(18)15(6)22/h9-12,14,16,19H,7-8H2,1-6H3",ABGQMUYAGYSMJU-UHFFFAOYSA-N,C20H29NO2,23,"{""formula"":""C20H29NO2"",""heavy_atom_count"":23,""inchi"":""InChI=1S/C20H29NO2/c1-11(2)14(5)20(23)19-12(3)7-8-16(19)18-10-21-13(4)9-17(18)15(6)22/h9-12,14,16,19H,7-8H2,1-6H3"",""inchikey"":""ABGQMUYAGYSMJU-UHFFFAOYSA-N"",""isomeric_smiles"":""CC(=O)c1cc(C)ncc1C1CCC(C)C1C(=O)C(C)C(C)C""}",IDENTITY_VALID,MASTER_UNIFIED,1,,"[{""1EVE_Eficacia"":-9.394,""5W8K_Risco"":-6.396,""Fitness_Score"":-4.614220000000001,""Indice_Seletividade"":2.998,""Origem_Historica"":""Gen 34""}]","[{""historical_label"":"""",""historical_label_source"":"""",""legacy_metrics"":{""1EVE_Eficacia"":-9.394,""5W8K_Risco"":-6.396,""Fitness_Score"":-4.614220000000001,""Indice_Seletividade"":2.998,""Origem_Historica"":""Gen 34""},""original_identifier"":""MOL_00181"",""original_inchi"":"""",""original_inchikey"":"""",""original_smiles"":""CC(=O)c1cc(C)ncc1C1CCC(C)C1C(=O)C(C)C(C)C"",""source_file"":""formolecular/novo_horizonte/banco_mestre_unificado.csv"",""source_role"":""MASTER_UNIFIED"",""source_row"":182,""source_sha256"":""57bfc3ecf9219e1cb7017892371771f82bd473cdf13250d0643fbf1dac12cb4b""}]",LEGACY,COMPUTATIONAL,NONE,FORBIDDEN
