legacy_record_id,inchikey,source_file,source_role,compound,filtered,farma_elite,top_hit,nh_4ey7,nh_isolated,master
LEGACY-INCHIKEY-AAEZZIGDDBXQPK-UHFFFAOYSA-N,AAEZZIGDDBXQPK-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,AAEZZIGDDBXQPK-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-AAFOKVPCVKGERD-UHFFFAOYSA-N,AAFOKVPCVKGERD-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,AAFOKVPCVKGERD-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-AAKGQNMNJCSORB-UHFFFAOYSA-N,AAKGQNMNJCSORB-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,AAKGQNMNJCSORB-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-AALIOCLBNQSGAX-UHFFFAOYSA-N,AALIOCLBNQSGAX-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,AALIOCLBNQSGAX-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-AAPXPLOAGNIOSU-UHFFFAOYSA-N,AAPXPLOAGNIOSU-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,AAPXPLOAGNIOSU-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-AATCBDNMGZWOAN-UHFFFAOYSA-N,AATCBDNMGZWOAN-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,AATCBDNMGZWOAN-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-AAUJETAJCJPKSW-UHFFFAOYSA-N,AAUJETAJCJPKSW-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,AAUJETAJCJPKSW-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-AAZYTOVRIWMLTE-UHFFFAOYSA-N,AAZYTOVRIWMLTE-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,AAZYTOVRIWMLTE-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-ABCFPEYNRMDEOS-UHFFFAOYSA-N,ABCFPEYNRMDEOS-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,ABCFPEYNRMDEOS-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-ABGQMUYAGYSMJU-UHFFFAOYSA-N,ABGQMUYAGYSMJU-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,ABGQMUYAGYSMJU-UHFFFAOYSA-N,0,0,0,0,0,1
